,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
210,2167,The Bodyguard,25000000.0,121945720.0,410899039, 1992,,,,,,385899039.0,1543.596156
211,5228,Unfriended: Dark Web,1000000.0,8866745.0,16434588, 2018,,,,,,15434588.0,1543.4587999999999
212,3540,Saw III,10000000.0,80238724.0,163876815, 2006,,,,,,153876815.0,1538.7681499999999
213,4869,Friday the 13th Part 3,2250000.0,36690067.0,36690067, 1982,,,,,,34440067.0,1530.6696444444444
214,983,Bohemian Rhapsody,55000000.0,216303339.0,894985342,2018,,,,,,839985342.0,1527.2460763636363
215,5233,Shine a Light,1000000.0,5505267.0,16173879,2008,,,,,,15173879.0,1517.3879
216,3982,Diamonds Are Forever,7200000.0,43800000.0,116000000, 1971,,,,,,108800000.0,1511.111111111111
217,5222,Cry Wolf,1000000.0,10047674.0,15943081, 2005,,,,,,14943081.0,1494.3081
218,2492,The Conjuring,20000000.0,137400141.0,318000141, 2013,,,,,,298000141.0,1490.000705
219,3538,Donât Breathe,10000000.0,89217875.0,158973685, 2016,,,,,,148973685.0,1489.73685
220,4256,Jackass: The Movie,5000000.0,64282312.0,79282312, 2002,,,,,,74282312.0,1485.64624
221,5571,Sleight,250000.0,3930990.0,3934450, 2017,,,,,,3684450.0,1473.78
222,3771,Thunderball,9000000.0,63600000.0,141200000, 1965,,,,,,132200000.0,1468.888888888889
223,672,Minions,74000000.0,336045770.0,1160336173, 2015,,,,,,1086336173.0,1468.0218554054054
224,4477,The Crying Game,4000000.0,62546695.0,62546695, 1992,,,,,,58546695.0,1463.667375
225,2974,Bienvenue chez les Ch'tis,16000000.0,1477650.0,247474497, 2008,,,,,,231474497.0,1446.71560625
226,2927,Dumb & Dumber,16000000.0,127175374.0,246400000, 1994,,,,,,230400000.0,1440.0
227,5572,Better Luck Tomorrow,250000.0,3802390.0,3809226, 2003,,,,,,3559226.0,1423.6904
228,2494,Wonder,20000000.0,132422809.0,304604712, 2017,,,,,,284604712.0,1423.02356
229,4224,Les Choristes,5500000.0,3629758.0,83529758, 2004,,,,,,78029758.0,1418.7228727272727
230,3005,The Imitation Game,15000000.0,91125143.0,227740463, 2014,,,,,,212740463.0,1418.2697533333335
231,4205,The Inbetweeners,5700000.0,35955.0,86051320,2012,,,,,,80351320.0,1409.6722807017545
232,2763,Neighbors,18000000.0,150086800.0,270944428,2014,,,,,,252944428.0,1405.2468222222221
233,3232,Teenage Mutant Ninja Turtles,13500000.0,135265915.0,202000000, 1990,,,,,,188500000.0,1396.2962962962963
234,5573,Like Crazy,250000.0,3395391.0,3728400, 2011,,,,,,3478400.0,1391.3600000000001
235,5396,King Kong,672000.0,10000000.0,10000650,1933,,,,,,9328650.0,1388.1919642857144
236,5065,Waitress,1500000.0,19097550.0,22217183,2007,,,,,,20717183.0,1381.1455333333333
237,5221,"Hello, My Name is Doris",1000000.0,14444999.0,14662703, 2016,,,,,,13662703.0,1366.2703000000001
238,2926,Dead Poets Society,16400000.0,95860116.0,239500000,1989,,,,,,223100000.0,1360.3658536585365
239,2725,Scary Movie,19000000.0,157019771.0,277200000,2000,,,,,,258200000.0,1358.9473684210527
240,5220,Hellraiser,1000000.0,14564000.0,14575148, 1987,,,,,,13575148.0,1357.5148000000002
241,2764,Borat,18000000.0,128505958.0,261443242,2006,,,,,,243443242.0,1352.4624555555556
242,2744,Sen to Chihiro no Kamikakushi,19000000.0,10049886.0,274949886, 2002,,,,,,255949886.0,1347.1046631578947
243,3835,Dragon Ball Super: Broly,8500000.0,30376755.0,122747755, 2019,,,,,,114247755.0,1344.0912352941175
244,2999,Twins,15000000.0,111936388.0,216600000,1988,,,,,,201600000.0,1344.0
245,4814,Garden State,2500000.0,26782316.0,36028802, 2004,,,,,,33528802.0,1341.15208
246,5015,Carrie,1800000.0,25878153.0,25878153, 1976,,,,,,24078153.0,1337.6751666666667
247,4484,Boyhood,4000000.0,25379975.0,57273049, 2014,,,,,,53273049.0,1331.826225
248,1377,Fifty Shades of Grey,40000000.0,166167230.0,570998101, 2015,,,,,,530998101.0,1327.4952524999999
249,2998,"Crouching Tiger, Hidden Dragon",15000000.0,128067808.0,213514672,2000,,,,,,198514672.0,1323.4311466666666
250,3952,Driving Miss Daisy,7500000.0,106593296.0,106593296, 1989,,,,,,99093296.0,1321.2439466666665
251,5016,A Nightmare on Elm Street,1800000.0,25504513.0,25504513,1984,,,,,,23704513.0,1316.9173888888888
252,4049,Les Visiteurs,7000000.0,659000.0,98754000, 1996,,,,,,91754000.0,1310.7714285714285
253,2370,Green Book,23000000.0,85080171.0,322034439, 2018,,,,,,299034439.0,1300.1497347826087
254,4790,The Black Stallion,2700000.0,37799643.0,37799643, 1979,,,,,,35099643.0,1299.986777777778
255,4006,The Man with the Golden Gun,7000000.0,21000000.0,97600000, 1974,,,,,,90600000.0,1294.2857142857142
256,5766,Clean,10000.0,138711.0,138711, 2006,,,,,,128711.0,1287.1100000000001
257,3978,Crash,7303082.0,55334418.0,101173038,2005,,,,,,93869956.0,1285.3471452189638
258,2490,Beverly Hills Cop II,20000000.0,153665036.0,276665036, 1987,,,,,,256665036.0,1283.3251799999998
259,4815,That Thing You Do!,2500000.0,25857416.0,34557416,1996,,,,,,32057416.0,1282.29664
260,955,Deadpool,58000000.0,363070709.0,801025593, 2016,,,,,,743025593.0,1281.0786086206897
261,629,Despicable Me 3,75000000.0,264624300.0,1034727750, 2017,,,,,,959727750.0,1279.637
